Article,Filename,Search Query,Caption,Download Link,Status
article_AAPL_iphone_sales_20251113.md,AAPL_iphone_premium_1.jpg,iphone pro premium smartphone technology,iPhone Pro 모델의 프리미엄 기능이 평균 판매가 상승을 이끌고 있습니다,https://www.pexels.com/search/iphone%20pro%20premium%20smartphone%20technology/,Pending
article_AAPL_iphone_sales_20251113.md,AAPL_enterprise_2.jpg,business professionals using smartphones office,기업 시장에서 iPhone 채택이 증가하며 안정적인 매출을 제공합니다,https://www.pexels.com/search/business%20professionals%20using%20smartphones%20office/,Pending
article_ADBE_creative_ai_20251113.md,ADBE_designer_ai_1.jpg,designer working on computer creative software,Adobe Firefly AI가 전문 디자이너의 작업 흐름을 혁신하고 있습니다,https://www.pexels.com/search/designer%20working%20on%20computer%20creative%20software/,Pending
article_ADBE_creative_ai_20251113.md,ADBE_creative_tools_2.jpg,digital art creative tools photoshop,생성형 AI 기능이 모든 Adobe 창작 도구에 통합되었습니다,https://www.pexels.com/search/digital%20art%20creative%20tools%20photoshop/,Pending
article_AMZN_aws_ai_services_20251113.md,AMZN_aws_datacenter_1.jpg,data center servers cloud computing technology,AWS AI 서비스가 클라우드 인프라 마진율을 크게 개선하고 있습니다,https://www.pexels.com/search/data%20center%20servers%20cloud%20computing%20technology/,Pending
article_AMZN_aws_ai_services_20251113.md,AMZN_ai_multimodel_2.jpg,artificial intelligence neural network technology,멀티 모델 전략으로 다양한 AI 모델을 제공하는 AWS,https://www.pexels.com/search/artificial%20intelligence%20neural%20network%20technology/,Pending
article_GOOGL_search_ai_20251113.md,GOOGL_ai_search_1.jpg,person searching on smartphone google,Google AI 오버뷰가 검색 경험을 완전히 바꾸고 있습니다,https://www.pexels.com/search/person%20searching%20on%20smartphone%20google/,Pending
article_GOOGL_search_ai_20251113.md,GOOGL_advertising_2.jpg,digital advertising analytics dashboard,AI 검색으로 광고 체류 시간과 CPM이 모두 증가했습니다,https://www.pexels.com/search/digital%20advertising%20analytics%20dashboard/,Pending
article_META_enterprise_ai_20251113.md,META_business_ai_1.jpg,social media business communication instagram facebook,Meta Business AI가 5억 비즈니스 사용자를 대상으로 출시되었습니다,https://www.pexels.com/search/social%20media%20business%20communication%20instagram%20facebook/,Pending
article_META_enterprise_ai_20251113.md,META_automation_2.jpg,customer service chatbot ai automation,AI가 자동으로 고객 메시지에 응답하고 판매를 최적화합니다,https://www.pexels.com/search/customer%20service%20chatbot%20ai%20automation/,Pending
article_MSFT_AI_office_integration_20251113.md,MSFT_copilot_office_1.jpg,office worker using microsoft teams computer,Microsoft 365 Copilot이 업무 생산성을 혁신하고 있습니다,https://www.pexels.com/search/office%20worker%20using%20microsoft%20teams%20computer/,Pending
article_MSFT_AI_office_integration_20251113.md,MSFT_revenue_growth_2.jpg,business analytics growth chart dashboard,AI 통합으로 Office 365 구독료가 상승하며 수익성이 개선됩니다,https://www.pexels.com/search/business%20analytics%20growth%20chart%20dashboard/,Pending
article_NFLX_subscriber_growth_20251113.md,NFLX_streaming_subscribers_1.jpg,people watching streaming content tv couch,Netflix 광고 요금제가 가격 민감 고객을 유입시키고 있습니다,https://www.pexels.com/search/people%20watching%20streaming%20content%20tv%20couch/,Pending
article_NFLX_subscriber_growth_20251113.md,NFLX_advertising_2.jpg,mobile video advertising smartphone,광고 사업이 새로운 수익원으로 부상하고 있습니다,https://www.pexels.com/search/mobile%20video%20advertising%20smartphone/,Pending
article_NVDA_blackwell_gpu_20251113.md,NVDA_blackwell_chip_1.jpg,nvidia gpu chip microprocessor technology,NVIDIA Blackwell GPU가 AI 성능을 5배 향상시켰습니다,https://www.pexels.com/search/nvidia%20gpu%20chip%20microprocessor%20technology/,Pending
article_NVDA_blackwell_gpu_20251113.md,NVDA_datacenter_demand_2.jpg,data center servers racks technology,클라우드 3사가 Blackwell GPU를 대량 구매하고 있습니다,https://www.pexels.com/search/data%20center%20servers%20racks%20technology/,Pending
article_NVDA_foxconn_ai_server_20251115.md,NVDA_foxconn_factory_1.jpg,factory manufacturing technology electronics,Foxconn의 AI 서버 매출이 전년 대비 200% 증가했습니다,https://www.pexels.com/search/factory%20manufacturing%20technology%20electronics/,Pending
article_NVDA_foxconn_ai_server_20251115.md,NVDA_ai_server_tech_2.jpg,server room data center technology,AI 서버 조립 기술의 복잡성이 높은 마진율을 만듭니다,https://www.pexels.com/search/server%20room%20data%20center%20technology/,Pending
article_TSLA_robotaxi_fleet_20251113.md,TSLA_robotaxi_autonomous_1.jpg,self driving autonomous car technology,Tesla가 2026년 상반기 로보택시 서비스를 시작합니다,https://www.pexels.com/search/self%20driving%20autonomous%20car%20technology/,Pending
article_TSLA_robotaxi_fleet_20251113.md,TSLA_charging_network_2.jpg,electric vehicle charging station network,Tesla의 충전 인프라가 로보택시 경쟁 우위를 만듭니다,https://www.pexels.com/search/electric%20vehicle%20charging%20station%20network/,Pending
article_UBER_profitability_expansion_20251113.md,UBER_rideshare_profit_1.jpg,uber ride sharing city transportation,Uber가 처음으로 연간 흑자를 달성했습니다,https://www.pexels.com/search/uber%20ride%20sharing%20city%20transportation/,Pending
article_UBER_profitability_expansion_20251113.md,UBER_eats_delivery_2.jpg,food delivery service mobile app,Uber Eats가 전체 매출의 42%를 차지하며 성장을 견인합니다,https://www.pexels.com/search/food%20delivery%20service%20mobile%20app/,Pending
